Time[s], Channel 4
0.00000000, 0
0.37218248, 1
0.37218256, 0
0.37220906, 1
0.37220910, 0
0.37221026, 1
0.37221060, 0
0.37221174, 1
0.37221196, 0
0.37223708, 1
0.37223728, 0
0.37223828, 1
0.37223876, 0
0.37223974, 1
0.37224012, 0
0.37224112, 1
0.37224136, 0
0.37224260, 1
0.37224266, 0
0.37224268, 1
0.37224274, 0
0.37225342, 1
0.37225344, 0
0.39032548, 1
0.39032550, 0
0.39032566, 1
0.41029692, 0
0.41031676, 1
0.41031780, 0
0.41033744, 1
0.41433372, 0
0.41435354, 1
0.41435460, 0
0.41437460, 1
0.41437566, 0
0.41439548, 1
0.41439654, 0
0.41441636, 1
0.41441742, 0
0.41443724, 1
0.41443828, 0
0.41445792, 1
0.41445898, 0
0.41447862, 1
0.41447968, 0
0.41449950, 1
0.41450124, 0
0.41457916, 1
0.41458090, 0
0.41467232, 1
0.41467406, 0
0.41469822, 1
0.41469996, 0
0.41475112, 1
0.41475286, 0
0.41480378, 1
0.41480484, 0
0.41482484, 1
0.41482590, 0
0.41484590, 1
0.41484694, 0
0.41486694, 1
0.41486800, 0
0.41488782, 1
0.41489006, 0
0.41496816, 1
0.41497038, 0
0.41504848, 1
0.41504930, 0
0.41506962, 1
0.41507148, 0
0.41509130, 1
0.41509236, 0
0.41511218, 1
0.41511436, 0
0.41513442, 1
0.41513878, 0
0.41515884, 1
0.41516318, 0
0.41518324, 1
0.41518760, 0
0.41520766, 1
0.41521200, 0
0.41523206, 1
0.41523642, 0
0.41525648, 1
0.41526082, 0
0.41528090, 1
0.41528524, 0
0.41530530, 1
0.41530964, 0
0.41532972, 1
0.41533406, 0
0.41535414, 1
0.41535848, 0
0.41537856, 1
0.41538290, 0
0.41540298, 1
0.41540734, 0
0.41542740, 1
0.41543176, 0
0.41545182, 1
0.41545616, 0
0.41547624, 1
0.41548058, 0
0.41550066, 1
0.41550500, 0
0.41552508, 1
0.41552942, 0
0.41554950, 1
0.41555384, 0
0.41557392, 1
0.41557826, 0
0.41559832, 1
0.41560268, 0
0.41562274, 1
0.41562708, 0
0.41564716, 1
0.41565150, 0
0.41567156, 1
0.41567592, 0
0.41569598, 1
0.41570034, 0
0.41572042, 1
0.41572476, 0
0.41574482, 1
0.41574918, 0
0.41576926, 1
0.41577360, 0
0.41579368, 1
0.41579802, 0
0.41581810, 1
0.41582246, 0
0.41584252, 1
0.41584688, 0
0.41586696, 1
0.41587130, 0
0.41589136, 1
0.41589572, 0
0.41591580, 1
0.41592014, 0
0.41594022, 1
0.41594456, 0
0.41596464, 1
0.41596898, 0
0.41598906, 1
0.41599340, 0
0.41601348, 1
0.41601784, 0
0.41603792, 1
0.41604226, 0
0.41606234, 1
0.41606668, 0
0.41608676, 1
0.41609110, 0
0.41611118, 1
0.41611552, 0
0.41613560, 1
0.41613994, 0
0.41616002, 1
0.41616436, 0
0.41618444, 1
0.41618880, 0
0.41620888, 1
0.41621322, 0
0.41623328, 1
0.41623764, 0
0.41625772, 1
0.41626206, 0
0.41628214, 1
0.41628650, 0
0.41630656, 1
0.41631090, 0
0.41633098, 1
0.41633532, 0
0.41635538, 1
0.41635974, 0
0.41637982, 1
0.41638416, 0
0.41640424, 1
0.41640858, 0
0.41642866, 1
0.41643300, 0
0.41645308, 1
0.41645742, 0
0.41647750, 1
0.41648184, 0
0.41650190, 1
0.41650626, 0
0.41652632, 1
0.41653068, 0
0.41655074, 1
0.41655510, 0
0.41657516, 1
