Time[s], Channel 4
0.00000000, 0
0.47216696, 1
0.47216706, 0
0.47216830, 1
0.47216834, 0
0.47216836, 1
0.47216852, 0
0.47219500, 1
0.47219518, 0
0.47219626, 1
0.47219666, 0
0.47219774, 1
0.47219780, 0
0.47219782, 1
0.47219804, 0
0.47219932, 1
0.47219934, 0
0.47219940, 1
0.47219944, 0
0.47222316, 1
0.47222342, 0
0.49028366, 1
0.49028368, 0
0.49028384, 1
0.51025638, 0
0.51027620, 1
0.51027726, 0
0.51029688, 1
0.51429376, 0
0.51431358, 1
0.51431464, 0
0.51433464, 1
0.51433570, 0
0.51435552, 1
0.51435658, 0
0.51437642, 1
0.51437746, 0
0.51439730, 1
0.51439836, 0
0.51441798, 1
0.51441904, 0
0.51443868, 1
0.51443972, 0
0.51445954, 1
0.51446128, 0
0.51453918, 1
0.51454092, 0
0.51463230, 1
0.51463404, 0
0.51465820, 1
0.51465994, 0
0.51471108, 1
0.51471282, 0
0.51476378, 1
0.51476484, 0
0.51478486, 1
0.51478592, 0
0.51480592, 1
0.51480698, 0
0.51482700, 1
0.51482806, 0
0.51484788, 1
0.51485012, 0
0.51492822, 1
0.51493046, 0
0.51500854, 1
0.51500936, 0
0.51502966, 1
0.51503154, 0
0.51505134, 1
0.51505240, 0
0.51507222, 1
0.51507438, 0
0.51509446, 1
0.51509880, 0
0.51511886, 1
0.51512322, 0
0.51514328, 1
0.51514762, 0
0.51516768, 1
0.51517204, 0
0.51519210, 1
0.51519646, 0
0.51521652, 1
0.51522088, 0
0.51524096, 1
0.51524530, 0
0.51526538, 1
0.51526972, 0
0.51528978, 1
0.51529414, 0
0.51531420, 1
0.51531856, 0
0.51533862, 1
0.51534296, 0
0.51536302, 1
0.51536738, 0
0.51538744, 1
0.51539178, 0
0.51541186, 1
0.51541620, 0
0.51543626, 1
0.51544062, 0
0.51546068, 1
0.51546504, 0
0.51548510, 1
0.51548946, 0
0.51550952, 1
0.51551386, 0
0.51553394, 1
0.51553828, 0
0.51555834, 1
0.51556268, 0
0.51558276, 1
0.51558710, 0
0.51560716, 1
0.51561152, 0
0.51563158, 1
0.51563594, 0
0.51565600, 1
0.51566034, 0
0.51568042, 1
0.51568478, 0
0.51570484, 1
0.51570920, 0
0.51572926, 1
0.51573362, 0
0.51575368, 1
0.51575802, 0
0.51577808, 1
0.51578244, 0
0.51580250, 1
0.51580686, 0
0.51582692, 1
0.51583128, 0
0.51585134, 1
0.51585570, 0
0.51587576, 1
0.51588010, 0
0.51590016, 1
0.51590452, 0
0.51592458, 1
0.51592892, 0
0.51594900, 1
0.51595334, 0
0.51597342, 1
0.51597776, 0
0.51599784, 1
0.51600218, 0
0.51602226, 1
0.51602660, 0
0.51604668, 1
0.51605102, 0
0.51607110, 1
0.51607544, 0
0.51609552, 1
0.51609986, 0
0.51611994, 1
0.51612428, 0
0.51614436, 1
0.51614870, 0
0.51616878, 1
0.51617312, 0
0.51619318, 1
0.51619754, 0
0.51621760, 1
0.51622196, 0
0.51624204, 1
0.51624638, 0
0.51626644, 1
0.51627078, 0
0.51629086, 1
0.51629520, 0
0.51631528, 1
0.51631962, 0
0.51633970, 1
0.51634404, 0
0.51636412, 1
0.51636846, 0
0.51638854, 1
0.51639288, 0
0.51641296, 1
0.51641730, 0
0.51643738, 1
0.51644172, 0
0.51646180, 1
0.51646614, 0
0.51648622, 1
0.51649056, 0
0.51651064, 1
0.51651498, 0
0.51653506, 1
0.51653940, 0
0.51655948, 1
0.51656382, 0
0.51658388, 1
0.51658824, 0
0.51660830, 1
0.51661266, 0
0.51663272, 1
0.51663708, 0
0.51665714, 1
0.51666148, 0
0.51668156, 1
0.51668590, 0
0.51670598, 1
0.51671032, 0
0.51673040, 1
0.51673474, 0
0.51675482, 1
0.51675916, 0
0.51677924, 1
0.51678358, 0
0.51680364, 1
0.51680800, 0
0.51682806, 1
0.51683242, 0
0.51685250, 1
0.51685684, 0
0.51687692, 1
0.51688126, 0
0.51690134, 1
0.51690568, 0
0.51692576, 1
0.51693010, 0
0.51695016, 1
0.51695452, 0
0.51697458, 1
0.51697892, 0
0.51699900, 1
0.51700336, 0
0.51702342, 1
0.51702778, 0
0.51704786, 1
0.51705220, 0
0.51707228, 1
0.51707662, 0
0.51709670, 1
0.51710104, 0
0.51712112, 1
0.51712546, 0
0.51714552, 1
0.51714988, 0
0.51716994, 1
0.51717428, 0
0.51719436, 1
0.51719870, 0
0.51721878, 1
0.51722312, 0
0.51724320, 1
0.51724754, 0
0.51726762, 1
0.51727196, 0
0.51729204, 1
0.51729638, 0
0.51731646, 1
0.51732080, 0
0.51734088, 1
0.51734522, 0
0.51736530, 1
0.51736964, 0
0.51738970, 1
0.51739406, 0
0.51741412, 1
0.51741846, 0
0.51743854, 1
0.51744288, 0
0.51746296, 1
0.51746732, 0
0.51748738, 1
0.51749172, 0
0.51751178, 1
0.51751614, 0
0.51753620, 1
0.51754054, 0
0.51756062, 1
0.51756496, 0
0.51758504, 1
0.51758938, 0
0.51760946, 1
0.51761380, 0
0.51763388, 1
0.51763822, 0
0.51765828, 1
0.51766264, 0
0.51768270, 1
0.51768706, 0
0.51770712, 1
0.51771148, 0
0.51773154, 1
0.51773588, 0
0.51775594, 1
0.51776030, 0
0.51778036, 1
0.51778470, 0
0.51780476, 1
0.51780912, 0
0.51782920, 1
0.51783354, 0
0.51785362, 1
0.51785796, 0
0.51787802, 1
0.51788238, 0
0.51790244, 1
0.51790678, 0
0.51792684, 1
0.51793120, 0
0.51795128, 1
0.51795562, 0
0.51797570, 1
0.51798006, 0
0.51800012, 1
0.51800448, 0
0.51802454, 1
0.51802890, 0
0.51804898, 1
0.51805332, 0
0.51807340, 1
0.51807774, 0
0.51809782, 1
0.51810216, 0
0.51812222, 1
0.51812658, 0
0.51814664, 1
0.51815098, 0
0.51817106, 1
0.51817540, 0
0.51819548, 1
0.51819982, 0
0.51821988, 1
0.51822424, 0
0.51824430, 1
0.51824864, 0
0.51826872, 1
0.51827306, 0
0.51829314, 1
0.51829748, 0
0.51831756, 1
0.51832190, 0
0.51834198, 1
0.51834632, 0
0.51836638, 1
0.51837074, 0
0.51839080, 1
0.51839516, 0
0.51841522, 1
0.51841956, 0
0.51843962, 1
0.51844398, 0
0.51846406, 1
0.51846840, 0
0.51848846, 1
0.51849282, 0
0.51851288, 1
0.51851724, 0
0.51853730, 1
0.51854166, 0
0.51856172, 1
0.51856608, 0
0.51858614, 1
0.51859048, 0
0.51861056, 1
0.51861490, 0
0.51863498, 1
0.51863932, 0
0.51865940, 1
0.51866376, 0
0.51868382, 1
0.51868818, 0
0.51870824, 1
0.51871260, 0
0.51873266, 1
0.51873702, 0
0.51875708, 1
0.51876142, 0
0.51878150, 1
0.51878584, 0
0.51880592, 1
0.51881028, 0
0.51883034, 1
0.51883468, 0
0.51885476, 1
0.51885910, 0
0.51887916, 1
0.51888352, 0
0.51890360, 1
0.51890794, 0
0.51892800, 1
0.51893236, 0
0.51895242, 1
0.51895678, 0
0.51897684, 1
0.51898120, 0
0.51900126, 1
0.51900560, 0
0.51902566, 1
0.51903002, 0
0.51905010, 1
0.51905444, 0
0.51907450, 1
0.51907886, 0
0.51909894, 1
0.51910328, 0
0.51912336, 1
0.51912770, 0
0.51914778, 1
0.51915212, 0
0.51917218, 1
0.51917654, 0
0.51919660, 1
0.51920094, 0
0.51922102, 1
0.51922536, 0
0.51924544, 1
0.51924978, 0
0.51926986, 1
0.51927420, 0
0.51929428, 1
0.51929862, 0
0.51931868, 1
0.51932304, 0
0.51934310, 1
0.51934746, 0
0.51936752, 1
0.51937188, 0
0.51939194, 1
0.51939630, 0
0.51941636, 1
0.51942070, 0
0.51944078, 1
0.51944514, 0
0.51946520, 1
0.51946954, 0
0.51948962, 1
0.51949396, 0
0.51951402, 1
0.51951838, 0
0.51953844, 1
0.51954278, 0
0.51956286, 1
0.51956722, 0
0.51958728, 1
0.51959164, 0
0.51961170, 1
0.51961606, 0
0.51963612, 1
0.51964046, 0
0.51966052, 1
0.51966488, 0
0.51968496, 1
0.51968930, 0
0.51970936, 1
0.51971372, 0
0.51973378, 1
0.51973814, 0
0.51975822, 1
0.51976256, 0
0.51978264, 1
0.51978698, 0
0.51980706, 1
0.51981140, 0
0.51983146, 1
0.51983582, 0
0.51985588, 1
0.51986024, 0
0.51988030, 1
0.51988466, 0
0.51990472, 1
0.51990908, 0
0.51992916, 1
0.51993350, 0
0.51995358, 1
0.51995792, 0
0.51997798, 1
0.51998234, 0
0.52000240, 1
0.52000674, 0
0.52002682, 1
0.52003116, 0
0.52005122, 1
0.52005558, 0
0.52007564, 1
0.52007998, 0
0.52010006, 1
0.52010440, 0
0.52012448, 1
0.52012882, 0
0.52014888, 1
0.52015324, 0
0.52017330, 1
0.52017764, 0
0.52019770, 1
0.52020204, 0
0.52022210, 1
0.52022644, 0
0.52024648, 1
0.52025084, 0
0.52027090, 1
0.52027524, 0
0.52029530, 1
0.52029966, 0
0.52031972, 1
0.52032408, 0
0.52034414, 1
0.52034850, 0
0.52036856, 1
0.52037290, 0
0.52039296, 1
0.52039732, 0
0.52041738, 1
0.52042174, 0
0.52044180, 1
0.52044616, 0
0.52046622, 1
0.52047056, 0
0.52049064, 1
0.52049498, 0
0.52051504, 1
0.52051938, 0
0.52053944, 1
0.52054380, 0
0.52056386, 1
0.52056822, 0
0.52058828, 1
0.52059262, 0
0.52061270, 1
0.52061704, 0
0.52063712, 1
0.52064146, 0
0.52066154, 1
0.52066590, 0
0.52068596, 1
0.52069030, 0
0.52071038, 1
0.52071530, 0
0.52073538, 1
0.52073972, 0
0.52075980, 1
0.52076414, 0
0.52078420, 1
0.52078856, 0
0.52080862, 1
0.52081296, 0
0.52083304, 1
0.52083738, 0
0.52085746, 1
0.52086180, 0
0.52088186, 1
0.52088622, 0
0.52090630, 1
0.52091064, 0
0.52093072, 1
0.52093508, 0
0.52095514, 1
0.52095950, 0
0.52097958, 1
0.52098392, 0
0.52100400, 1
0.52100834, 0
0.52102840, 1
0.52103276, 0
0.52105282, 1
0.52105716, 0
0.52107724, 1
0.52108160, 0
0.52110168, 1
0.52110602, 0
0.52112610, 1
0.52113044, 0
0.52115052, 1
0.52115486, 0
0.52117494, 1
0.52117928, 0
0.52119936, 1
0.52120372, 0
0.52122378, 1
0.52122814, 0
0.52124820, 1
0.52125256, 0
0.52127262, 1
0.52127698, 0
0.52129704, 1
0.52130138, 0
0.52132144, 1
0.52132578, 0
0.52134586, 1
0.52135020, 0
0.52137028, 1
0.52137462, 0
0.52139470, 1
0.52139904, 0
0.52141912, 1
0.52142348, 0
0.52144354, 1
0.52144790, 0
0.52146796, 1
0.52147230, 0
0.52149238, 1
0.52149672, 0
0.52151680, 1
0.52152114, 0
0.52154122, 1
0.52154556, 0
0.52156562, 1
0.52156998, 0
0.52159004, 1
0.52159438, 0
0.52161446, 1
0.52161882, 0
0.52163890, 1
0.52164324, 0
0.52166332, 1
0.52166766, 0
0.52168774, 1
0.52169208, 0
0.52171216, 1
0.52171652, 0
0.52173658, 1
0.52174094, 0
0.52176100, 1
0.52176534, 0
0.52178542, 1
0.52178978, 0
0.52180984, 1
0.52181418, 0
0.52183426, 1
0.52183862, 0
0.52185868, 1
0.52186302, 0
0.52188310, 1
0.52188744, 0
0.52190750, 1
0.52191184, 0
0.52193192, 1
0.52193626, 0
0.52195634, 1
0.52196070, 0
0.52198076, 1
0.52198512, 0
0.52200518, 1
0.52200954, 0
0.52202960, 1
0.52203394, 0
0.52205402, 1
0.52205838, 0
0.52207844, 1
0.52208280, 0
0.52210286, 1
0.52210722, 0
0.52212730, 1
0.52213164, 0
0.52215172, 1
0.52215608, 0
0.52217614, 1
0.52218050, 0
0.52220056, 1
0.52220492, 0
0.52222500, 1
0.52222934, 0
0.52224942, 1
0.52225378, 0
0.52227384, 1
0.52227820, 0
0.52229828, 1
0.52230262, 0
0.52232268, 1
0.52232704, 0
0.52234710, 1
0.52235146, 0
0.52237152, 1
0.52237586, 0
0.52239594, 1
0.52240028, 0
0.52242034, 1
0.52242470, 0
0.52244476, 1
0.52244912, 0
0.52246918, 1
0.52247352, 0
0.52249360, 1
0.52249796, 0
0.52251802, 1
0.52252238, 0
0.52254244, 1
0.52254680, 0
0.52256686, 1
0.52257122, 0
0.52259128, 1
0.52259564, 0
0.52261570, 1
0.52262006, 0
0.52264014, 1
0.52264448, 0
0.52266456, 1
0.52266890, 0
0.52268898, 1
0.52269332, 0
0.52271338, 1
0.52271774, 0
0.52273780, 1
0.52274214, 0
0.52276220, 1
0.52276656, 0
0.52278662, 1
0.52279096, 0
0.52281102, 1
0.52281538, 0
0.52283544, 1
0.52283980, 0
0.52285986, 1
0.52286422, 0
0.52288428, 1
0.52288864, 0
0.52290872, 1
0.52291306, 0
0.52293314, 1
0.52293748, 0
0.52295754, 1
0.52296190, 0
0.52298196, 1
0.52298630, 0
0.52300638, 1
0.52301072, 0
0.52303080, 1
0.52303514, 0
0.52305522, 1
0.52305958, 0
0.52307964, 1
0.52308400, 0
0.52310406, 1
0.52310842, 0
0.52312848, 1
0.52313284, 0
0.52315290, 1
0.52315724, 0
0.52317732, 1
0.52318166, 0
0.52320174, 1
0.52320608, 0
0.52322616, 1
0.52323050, 0
0.52325056, 1
0.52325492, 0
0.52327498, 1
0.52327932, 0
0.52329940, 1
0.52330374, 0
0.52332382, 1
0.52332816, 0
0.52334824, 1
0.52335258, 0
0.52337266, 1
0.52337700, 0
0.52339706, 1
0.52340142, 0
0.52342148, 1
0.52342584, 0
0.52344590, 1
0.52345024, 0
0.52347032, 1
0.52347466, 0
0.52349472, 1
0.52349908, 0
0.52351914, 1
0.52352350, 0
0.52354358, 1
0.52354792, 0
0.52356800, 1
0.52357234, 0
0.52359242, 1
0.52359678, 0
0.52361684, 1
0.52362120, 0
0.52364126, 1
0.52364562, 0
0.52366570, 1
0.52367004, 0
0.52369010, 1
0.52369446, 0
0.52371452, 1
0.52371886, 0
0.52373894, 1
0.52374328, 0
0.52376336, 1
0.52376770, 0
0.52378778, 1
0.52379212, 0
0.52381220, 1
0.52381654, 0
0.52383662, 1
0.52384096, 0
0.52386104, 1
0.52386538, 0
0.52388546, 1
0.52388980, 0
0.52390988, 1
0.52391422, 0
0.52393428, 1
0.52393864, 0
0.52395870, 1
0.52396304, 0
0.52398310, 1
0.52398746, 0
0.52400752, 1
0.52401186, 0
0.52403194, 1
0.52403630, 0
0.52405636, 1
0.52406070, 0
0.52408076, 1
0.52408512, 0
0.52410518, 1
0.52410954, 0
0.52412960, 1
0.52413394, 0
0.52415402, 1
0.52415836, 0
0.52417844, 1
0.52418278, 0
0.52420286, 1
0.52420720, 0
0.52422728, 1
0.52423162, 0
0.52425170, 1
0.52425604, 0
0.52427612, 1
0.52428046, 0
0.52430054, 1
0.52430488, 0
0.52432494, 1
0.52432930, 0
0.52434936, 1
0.52435372, 0
0.52437380, 1
0.52437814, 0
0.52439820, 1
0.52440256, 0
0.52442262, 1
0.52442696, 0
0.52444704, 1
0.52445140, 0
0.52447146, 1
0.52447582, 0
0.52449588, 1
0.52450024, 0
0.52452030, 1
0.52452464, 0
0.52454470, 1
0.52454906, 0
0.52456912, 1
0.52457348, 0
0.52459354, 1
0.52459788, 0
0.52461796, 1
0.52462232, 0
0.52464238, 1
0.52464674, 0
0.52466680, 1
0.52467116, 0
0.52469122, 1
0.52469556, 0
0.52471564, 1
0.52471998, 0
0.52474006, 1
0.52474440, 0
0.52476448, 1
0.52476882, 0
0.52478890, 1
0.52479326, 0
0.52481332, 1
0.52481768, 0
0.52483774, 1
0.52484210, 0
0.52486218, 1
0.52486652, 0
0.52488658, 1
0.52489092, 0
0.52491100, 1
0.52491534, 0
0.52493540, 1
0.52493976, 0
0.52495982, 1
0.52496418, 0
0.52498424, 1
0.52498858, 0
0.52500866, 1
0.52501300, 0
0.52503306, 1
0.52503742, 0
0.52505748, 1
0.52506184, 0
0.52508190, 1
0.52508624, 0
0.52510630, 1
0.52511064, 0
0.52513070, 1
0.52513506, 0
0.52515512, 1
0.52515946, 0
0.52517952, 1
0.52518388, 0
0.52520394, 1
0.52520828, 0
0.52522834, 1
0.52523270, 0
0.52525276, 1
0.52525712, 0
0.52527718, 1
0.52528152, 0
0.52530160, 1
0.52530594, 0
0.52532602, 1
0.52533036, 0
