Time [s],Packet ID,MOSI,MISO
0.6635839600,0,0x53,
0.6635937800,0,0x5A,
0.6636048600,1,0x53,
0.6636146800,1,0xA5,
0.6676226200,2,0xE1,
0.6676324400,2,0x00,
0.6676435000,3,0xE2,
0.6676535000,3,0x00,
0.6676645600,4,0x27,
0.6676744000,4,0x70,
0.6676854600,5,0x3D,
0.6676952800,5,0x38,
0.6677063600,6,0x22,
0.6677163600,6,0x01,
0.6677272400,7,0x23,
0.6677370600,7,0x03,
0.6677479400,8,0x25,
0.6677577600,8,0x63,
0.6677686400,9,0x31,
0.6677784600,9,0x28,
0.6677903800,10,0x3F,
0.6678037000,10,0x0A,
0.6678171800,10,0x6D,
0.6678304800,10,0x67,
0.6678437800,10,0x9C,
0.6678572600,10,0x46,
0.6678700600,11,0x3A,
0.6678835600,11,0x45,
0.6678968600,11,0x21,
0.6679101600,11,0xEF,
0.6679234800,11,0x2C,
0.6679369600,11,0x5A,
0.6679504400,11,0x40,
0.6679632400,12,0x39,
0.6679765400,12,0x01,
0.6679891600,13,0x3E,
0.6680026400,13,0xF6,
0.6680161200,13,0x3F,
0.6680294200,13,0x5D,
0.6680420400,14,0x3B,
0.6680553400,14,0x0B,
0.6680686400,14,0xDF,
0.6680819400,14,0x02,
0.6680938800,15,0x3C,
0.6681039000,15,0x00,
0.6681149600,16,0x26,
0.6681249600,16,0x44,
0.6681360200,17,0x24,
0.6681460400,17,0x00,
0.6681571000,18,0x21,
0.6681669200,18,0x00,
0.6681793600,19,0x2A,
0.6681928600,19,0x96,
0.6682063400,19,0xA5,
0.6682196400,19,0x6D,
0.6682329600,19,0x4A,
0.6682464400,19,0x58,
0.6682597400,20,0x30,
0.6682732400,20,0x96,
0.6682867200,20,0xA5,
0.6683000400,20,0x6D,
0.6683133400,20,0x4A,
0.6683268200,20,0x58,
0.6683385200,21,0x0A,
0.6683481400,21,0x96,
0.6683607000,22,0x20,
0.6683707000,22,0x8F,
0.6683815800,23,0xFD,
